1,Pontifícia Universidade Católica do Rio de Janeiro,26,Rio de Janeiro,32
2,Universidade Federal Fluminense,28,Niterói,20
3,Faculdade de Medicina de São José do Rio Preto,15,São José do Rio Preto,27
4,Universidade Estadual Paulista Julio de Mesquita Filho,50,São Paulo,2
5,Universidade Federal de Viçosa (UFV),17,Viçosa,11
6,Universidade Federal de Juiz de Fora (UFJF),22,Juiz de Fora,35
7,Universidade do Estado do Rio de Janeiro (UERJ),16,Rio de Janeiro,21
8,Universidade Federal do Rio Grande do Sul,22,Porto Alegre,5
9,Universidade Federal do Ceará (UFC),26,Fortaleza,13
10,Universidade Federal de Pernambuco (UFPE),23,Recife,18
11,Universidade Federal do Paraná (UFPR),24,Curitiba,8
12,Universidade Tiradentes (UNIT),27,Aracaju,42
13,Universidade Federal do Rio de Janeiro (UFRJ),25,Rio de Janeiro,4
14,Universidade Federal de Mato Grosso do Sul (UFMS),25,Campo Grande,43
15,Universidade Federal de Uberlândia (UFU),25,Uberlândia,31
16,Universidade Estadual de Maringá (UEM),22,Maringá,14
17,Universidade Federal de Pelotas (UFPel),22,Pelotas,25
18,Universidade Federal do Espírito Santo (UFES),27,Vitória,33
19,Universidade São Francisco,24,Bragança Paulista,22
20,Universidade Estadual de Londrina (UEL),24,Londrina,28
21,Universidade de São Paulo (USP),30,São Paulo,1
22,Universidade Federal da Paraíba (UFPB),18,João Pessoa,26
23,Universidade Federal da Bahia (UFBA),25,Salvador,16
24,Universidade Federal de Sergipe (UFS),20,São Cristóvão,50
25,Universidade de Fortaleza (UNIFOR),18,Fortaleza,38
26,Universidade do Estado do Amazonas (UEA),19,Manaus,37
27,Universidade Federal de Minas Gerais (UFMG),20,Belo Horizonte,6
28,Universidade do Grande Rio (UNIGRANRIO),24,Duque de Caxias,49
29,Universidade Federal do ABC,21,Santo André,24
30,Universidade Federal de São Carlos (UFSCar),19,São Carlos,12
31,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,21,Redenção,47
32,Universidade Estadual de Campinas (UNICAMP),28,Campinas,3
33,Universidade Federal de Goiás (UFG),15,Goiânia,15
34,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),16,Porto Alegre,44
35,Universidade Federal de Santa Maria (UFSM),20,Santa Maria,17
36,Escola Nacional de Saúde Pública Sergio Arouca,15,Rio de Janeiro,36
37,Universidade Federal de São Paulo (UNIFESP),18,São Paulo,9
38,Fundação Getulio Vargas (FGV),29,Rio de Janeiro,48
39,Pontifícia Universidade Católica do Rio Grande do Sul,19,Porto Alegre,23
40,Pontifícia Universidade Católica do Paraná,20,Curitiba,40
41,Universidade Federal do Pará (UFPA),23,Belém,29
42,Universidade Tecnológica Federal do Paraná (UTFPR),19,Curitiba,41
43,Universidade Federal Rural de Pernambuco (UFRPE),17,Recife,34
44,Universidade do Estado de Santa Catarina (UDESC),18,Florianópolis,45
45,Universidade de Brasília (UnB),21,Brasília,10
46,Universidade Federal de Santa Catarina (UFSC),19,Florianópolis,7
47,Universidade Federal do Piauí (UFPI),22,Teresina,46
48,Universidade Federal de Campina Grande (UFCG),21,Campina Grande,39
49,Universidade Federal do Rio Grande do Norte (UFRN),27,Natal,19
50,Universidade Federal de Lavras (UFLA),20,Lavras,30
55,Universidade do Vale do Rio dos Sinos,27,São Leopoldo,51
